subject,body,queue,sector,specific_sector,priority,priority_level,language,dataset_source
dringend: vpn-verbindungsproblem beeinträchtigt den betrieb von clinicsync solutions erheblich,"sehr geehrtes support-team,\n\nich melde ein kritisches vpn-verbindungsproblem, das die abläufe bei clinicsync solutions massiv beeinträchtigt. wir haben derzeit einen vollständigen ausfall der vpn-verbindung, was unsere patientenplanung und den telemedizin-portal-service, der über airtable läuft, unterbricht. dieser ausfall ist dringend und erfordert sofortige aufmerksamkeit, da er unsere fähigkeit, patienten zu planen und zeitnahe gesundheitsdienstleistungen zu erbringen, vollständig zum erliegen bringt.\n\ndas problem trat vor etwa 30 minuten auf, und unser team konnte es von unserer seite aus nicht beheben.",network infrastructure,network infrastructure,nan,high,4,german,german
sofortige unterstützung bei sicherheitsvorfall erforderlich,"liebes support-team, ich melde einen schweren sicherheitsverstoß, der in der von kaspersky internet security überwachten kandidatendatenbank festgestellt wurde. es wurde ein unbefugter zugriff auf die von talentfusion hr ki-bewerteten kandidatenprofile erkannt. ich bitte dringend um ihre intervention, um dieses problem zu beheben und jeglichen möglichen datenverlust zu verhindern. ihre schnelle unterstützung wäre sehr geschätzt. mit freundlichen grüßen, <name>",security operations,security operations,nan,high,4,german,german
anfrage zur anleitung für die adobe sign-konfiguration,"liebes support-team, ich wende mich an sie, um ein update der onboarding-dokumentation von zenithflow zu erbitten. insbesondere hätte ich gerne umfassende anleitungen zur einrichtung der genehmigungs-workflows für elektronische unterschriften mit adobe sign. diese ergänzung würde die benutzererfahrung erheblich verbessern und mögliche einrichtungsprobleme minimieren helfen. ich bin der meinung, dass eine überarbeitung der anleitungen zur aufnahme dieser informationen für die nutzer sehr wertvoll wäre. könnten sie diese anfrage bitte in betracht ziehen? ich danke ihnen für ihre zeit und unterstützung. vielen dank, <name>",customer onboarding,customer onboarding,nan,low,2,german,german
dringend benötigtes update heute wegen sicherheitslücke in postgresql-datenbank,"liebes support-team, ich kontaktiere sie, um auf eine schwerwiegende sicherheitslücke in der von medisecure health verwendeten postgresql-datenbank aufmerksam zu machen. diese schwachstelle gefährdet die verschlüsselung von patientendaten. obwohl eine vorläufige lösung umgesetzt wurde, ist eine dauerhafte behebung dringend erforderlich. wir wären ihnen dankbar, wenn dies innerhalb der nächsten 24 stunden behandelt werden könnte, um den schutz der patientendaten zu gewährleisten. bitte informieren sie mich, falls sie weitere details benötigen, um diesen prozess zu beschleunigen. ich freue mich auf ihre rasche rückmeldung.",security operations,security operations,nan,medium,3,german,german
intermittierende fehler bei chef cookbooks beeinträchtigen die deployment-pipeline bei biotrust technologies,"liebes support-team, wir erleben sporadische ausfälle bei den chef cookbooks, die die deployment-pipeline bei biotrust technologies behindern. diese probleme verursachen verzögerungen bei der implementierung von blockchain-sicherheitsupdates. obwohl es eine manuelle zwischenlösung gibt, benötigen wir eine dauerhafte lösung. das problem tritt unregelmäßig auf, was die genaue ursachenfindung erschwert. wir verwenden die aktuellste chef-version in einer ubuntu-umgebung. ihre unterstützung bei der lösung dieses problems wäre sehr willkommen. bitte lassen sie uns wissen, falls sie protokolle oder systeminformationen benötigen.",software development,software development,nan,medium,3,german,german
probleme beim zugriff auf vpn,"liebes support-team, ich habe gelegentliche verbindungsprobleme mit bitbucket, wenn ich über das firmen-vpn verbunden bin. als entwickler bei medisecure health führt dieser unzuverlässige zugriff zu verzögerungen bei der zusammenarbeit am code. auch wenn lokale commits das problem vorübergehend umgehen, würde ich ihre unterstützung bei der lösung dieses problems sehr schätzen. vielen dank, <name>",network infrastructure,network infrastructure,nan,medium,3,german,german
gitlab ci/cd-pipeline fehler,"sehr geehrtes support-team, ich melde ein kritisches problem mit der gitlab ci/cd-pipeline, die von biotrust technologies verwendet wird. die pipeline ist fehlgeschlagen, wodurch die bereitstellung wichtiger blockchain-sicherheitsupdates verhindert wird. diese fehlfunktion stellt eine ernsthafte gefahr der datenexposition dar und erfordert dringende aufmerksamkeit. ich habe versucht, das problem durch fehlerbehebung zu lösen, aber das problem besteht weiterhin. das betroffene system betreibt gitlab auf einem linux-betriebssystem mit der neuesten version des ci/cd-tools. der fehler trat um 10:00 uhr auf; die protokolle sind beigefügt.",software development,software development,nan,high,4,german,german
unterstützung bei der dsgvo-konformität für lynda-daten,"liebes support-team, ich benötige unterstützung bei der erstellung eines dsgvo-konformen nachtrags für die benutzerdaten von lynda.com im zusammenhang mit skillwaves ki-fähigkeitenanalyse. dies hat mittlere dringlichkeit und beinhaltet die umsetzung einer lösung für verschlüsselte daten. ich wäre dankbar für hilfe bei der finalisierung dieses nachtrags. mit freundlichen grüßen, <name>",legal & compliance requests,legal & compliance requests,nan,medium,3,german,german
anfrage zur abrechnung des smart home abonnements,"liebes support-team, ich möchte mich erkundigen bezüglich der anteiligen abrechnungsanpassungen nach dem upgrade meines smart-wassermelder-abonnementplans. da ich meinen plan kürzlich geändert habe, hätte ich gerne eine erklärung dazu, wie die gebühren angewendet wurden. ich nutze das smart-wassermelder-gerät von safehome security. könnten sie mir hierzu bitte einige informationen geben? ich wäre ihnen dankbar, wenn sie diese angelegenheit so bald wie möglich überprüfen könnten. vielen dank für ihre unterstützung. mit freundlichen grüßen, <name>",account & billing management,account & billing management,nan,low,2,german,german
daten-synchronisationsprobleme aufgrund von postgresql-integrationsfehlern,"liebes support-team, ich habe gelegentlich ausfälle bei der datensynchronisation mit postgresql 13, was zu verzögerungen bei der aktualisierung des portfolios führt. als temporäre lösung ist ein manuelles aktualisieren möglich.",partner & vendor coordination,partner & vendor coordination,nan,medium,3,german,german
kritisches problem mit der xero-zahlungsabwicklung aufgetreten,"liebes support-team,\n\nich melde ein kritisches problem mit dem xero-zahlungsabwicklungssystem. heute sind zahlungstransaktionen fehlgeschlagen, was zur sperrung des kontos geführt hat. diese störung beeinträchtigt die abläufe von alphafusion finance erheblich, und es wird dringend hilfe benötigt, um das problem zu beheben.\n\nunser team hat versucht, das problem zu beheben, konnte jedoch die ursache nicht feststellen. anbei finden sie einen screenshot der angezeigten fehlermeldung mit dem fehlercode 'pay-001'. die systemanforderungen sind wie folgt:",account & billing management,account & billing management,nan,high,4,german,german
zugriffsproblem mit gdpr-compliance-vorlagen,"liebes support-team, wir haben schwierigkeiten beim zugriff auf die gdpr-compliance-vorlagen in notion, was unsere audit-vorbereitung verzögert. nutzer von datavest advisors haben festgestellt, dass diese probleme intermittierend auftreten. derzeit besteht die vorübergehende lösung darin, die vorlagen manuell hochzuladen. wir würden es sehr schätzen, wenn dieses problem innerhalb von 24 stunden behoben werden könnte. vielen dank, <name>",legal & compliance requests,legal & compliance requests,nan,medium,3,german,german
intermittierende fehler bei der planung von deployment-fenstern nach dem jüngsten smartsheet-update,"hallo support-team,\n\nich wende mich an sie wegen sporadischer fehler beim versuch, deployment-fenster nach dem neuesten smartsheet-update zu planen. selbst nach dem update treten weiterhin fehler auf, die manuelle umgehungslösungen erforderlich machen. ich benutze die neueste smartsheet-version auf einem windows-10-system mit dem chrome-browser. dieses problem begann nach dem update vom 10. februar. versuche, das problem durch das löschen des caches und einen neustart des browsers zu beheben, waren erfolglos. für ihre referenz habe ich einen screenshot der fehlermeldung angehängt.\n\nvielen dank.",release management,release management,nan,medium,3,german,german
unregelmäßige probleme beim speichern der gdpr-datenschutzrichtlinieneinstellungen im hubspot crm,"liebes support-team, ich habe ein sporadisches problem beim speichern der gdpr-datenschutzrichtlinieneinstellungen im hubspot crm. obwohl ich es mehrfach versucht habe, speichert das system die konfigurierten einstellungen nicht, sodass ich diese als workaround manuell eingeben muss. diese inkonsistenz beeinträchtigt die einhaltung der datenverarbeitungsvorschriften für safehome security. der fehler tritt sowohl auf windows- als auch auf macos-geräten auf und zeigt sich in mehreren browsern. für ihre referenz habe ich einen screenshot der fehlermeldung beigefügt. könnten sie mir bitte helfen, dieses problem zu lösen?",legal & compliance requests,legal & compliance requests,nan,medium,3,german,german
probleme mit ci/cd-pipeline-operationen,"liebes support-team, wir haben sporadische ausfälle bei unserer ci/cd-pipeline während der analytics-bereitstellung über datadog. temporäre manuelle lösungen helfen, das problem aber nicht vollständig zu beheben. wir wären dankbar für ihre unterstützung bei der lösung dieses problems.",software development,software development,nan,medium,3,german,german
sicherheitsvorfall in der datenbank,"liebes support-team, ich melde eine schwerwiegende sicherheitsverletzung, die unsere postgresql 13-datenbank betrifft. die flugplanungsdatenbank wurde kompromittiert und gefährdet die sicherheit unserer luftfahrtdaten. ein dringendes update ist erforderlich, um die integrität dieser daten zu schützen. bitte leisten sie innerhalb von 4 stunden unterstützung, um einen möglichen datenabfluss zu verhindern. ihre schnelle bearbeitung dieses problems wird sehr geschätzt. vielen dank, <name>",security operations,security operations,nan,high,4,german,german
problem mit wiederkehrender zahlungsablehnung bei activecampaign,"sehr geehrtes support-team, ich wende mich mit dringendem hilfegesuch bezüglich einer wiederkehrenden zahlung, die ständig abgelehnt wird, an sie. dies unterbricht den zugriff auf die kundenabrechnungsanalyse für datavest advisors. das problem begann am 10. februar, und trotz mehrerer versuche wird die zahlung weiterhin abgelehnt. ich habe die kontoeinstellungen überprüft, und alles scheint korrekt zu sein. unser team ist stark auf activecampaign für wichtige abläufe angewiesen, und diese störung behindert unsere fähigkeit, kunden effizient zu bedienen. anbei finden sie einen screenshot der fehlermeldung zu ihrer information.",account & billing management,account & billing management,nan,high,4,german,german
